vardas pavarde  ND1 ND2 ND3 egz
vardas1 pavarde1 8 1 3 1
vardas2 pavarde2 8 6 7 8
vardas3 pavarde3 8 2 7 6
vardas4 pavarde4 10 7 1 3
vardas5 pavarde5 4 1 7 3
vardas6 pavarde6 7 3 3 8
vardas7 pavarde7 4 7 6 10
vardas8 pavarde8 7 5 1 3
vardas9 pavarde9 9 7 9 5
vardas10 pavarde10 5 3 9 6
vardas11 pavarde11 6 3 5 3
vardas12 pavarde12 9 3 8 1
vardas13 pavarde13 1 4 4 10
vardas14 pavarde14 7 2 1 3
vardas15 pavarde15 5 6 2 7
vardas16 pavarde16 4 1 4 6
vardas17 pavarde17 3 6 10 3
vardas18 pavarde18 5 9 2 7
vardas19 pavarde19 1 7 5 8
vardas20 pavarde20 9 1 10 6
vardas21 pavarde21 7 8 2 2
vardas22 pavarde22 4 2 4 5
vardas23 pavarde23 8 1 7 3
vardas24 pavarde24 4 6 2 4
vardas25 pavarde25 5 9 1 10
vardas26 pavarde26 5 2 8 5
vardas27 pavarde27 1 10 3 2
vardas28 pavarde28 3 3 8 1
vardas29 pavarde29 9 5 3 10
vardas30 pavarde30 8 9 5 8
vardas31 pavarde31 5 9 4 5
vardas32 pavarde32 4 4 7 5
vardas33 pavarde33 3 8 6 1
vardas34 pavarde34 7 4 6 10
vardas35 pavarde35 7 1 8 2
vardas36 pavarde36 2 1 3 9
vardas37 pavarde37 1 10 8 6
vardas38 pavarde38 3 2 8 6
vardas39 pavarde39 1 1 8 1
vardas40 pavarde40 3 9 4 10
vardas41 pavarde41 1 2 1 9
vardas42 pavarde42 1 5 1 8
vardas43 pavarde43 9 4 9 4
vardas44 pavarde44 6 1 5 3
vardas45 pavarde45 8 10 2 4
vardas46 pavarde46 2 4 9 4
vardas47 pavarde47 9 10 2 8
vardas48 pavarde48 7 4 4 4
vardas49 pavarde49 6 6 10 10
vardas50 pavarde50 1 2 7 6
vardas51 pavarde51 3 9 6 6
vardas52 pavarde52 3 7 4 1
vardas53 pavarde53 7 9 9 10
vardas54 pavarde54 8 10 10 5
vardas55 pavarde55 3 10 5 1
vardas56 pavarde56 8 10 2 10
vardas57 pavarde57 6 2 3 8
vardas58 pavarde58 2 7 2 1
vardas59 pavarde59 5 6 8 6
vardas60 pavarde60 10 1 7 3
vardas61 pavarde61 8 5 9 8
vardas62 pavarde62 3 9 10 1
vardas63 pavarde63 9 8 10 3
vardas64 pavarde64 9 3 2 5
vardas65 pavarde65 5 1 7 9
vardas66 pavarde66 7 6 4 4
vardas67 pavarde67 1 7 2 7
vardas68 pavarde68 6 8 4 5
vardas69 pavarde69 7 10 2 9
vardas70 pavarde70 7 1 4 6
vardas71 pavarde71 2 10 9 5
vardas72 pavarde72 10 2 2 5
vardas73 pavarde73 2 10 3 8
vardas74 pavarde74 9 9 10 2
vardas75 pavarde75 7 10 4 1
vardas76 pavarde76 10 7 2 2
vardas77 pavarde77 7 5 10 9
vardas78 pavarde78 7 3 5 6
vardas79 pavarde79 5 6 9 9
vardas80 pavarde80 9 2 6 4
vardas81 pavarde81 5 7 1 1
vardas82 pavarde82 5 8 4 7
vardas83 pavarde83 1 2 4 3
vardas84 pavarde84 8 5 8 8
vardas85 pavarde85 3 8 9 3
vardas86 pavarde86 9 2 9 8
vardas87 pavarde87 6 6 2 3
vardas88 pavarde88 2 5 4 7
vardas89 pavarde89 10 2 9 6
vardas90 pavarde90 4 3 5 1
vardas91 pavarde91 7 5 4 2
vardas92 pavarde92 8 5 7 6
vardas93 pavarde93 6 9 10 4
vardas94 pavarde94 1 4 4 4
vardas95 pavarde95 8 2 10 7
vardas96 pavarde96 8 2 4 3
vardas97 pavarde97 9 4 8 10
vardas98 pavarde98 9 8 1 4
vardas99 pavarde99 3 10 7 8
vardas100 pavarde100 2 4 9 7
vardas101 pavarde101 10 8 10 9
vardas102 pavarde102 6 5 5 7
vardas103 pavarde103 2 5 1 6
vardas104 pavarde104 4 10 7 10
vardas105 pavarde105 6 6 1 9
vardas106 pavarde106 3 8 3 10
vardas107 pavarde107 1 2 7 9
vardas108 pavarde108 1 6 2 4
vardas109 pavarde109 10 1 10 9
vardas110 pavarde110 7 1 3 4
vardas111 pavarde111 7 1 7 1
vardas112 pavarde112 9 7 10 4
vardas113 pavarde113 10 3 4 1
vardas114 pavarde114 6 9 7 8
vardas115 pavarde115 7 9 9 2
vardas116 pavarde116 7 10 4 6
vardas117 pavarde117 10 5 7 4
vardas118 pavarde118 10 1 3 9
vardas119 pavarde119 4 9 8 9
vardas120 pavarde120 8 5 2 8
vardas121 pavarde121 2 6 4 1
vardas122 pavarde122 1 5 6 4
vardas123 pavarde123 3 9 5 5
vardas124 pavarde124 1 3 2 7
vardas125 pavarde125 9 2 1 3
vardas126 pavarde126 6 4 2 2
vardas127 pavarde127 4 5 7 8
vardas128 pavarde128 3 1 3 2
vardas129 pavarde129 10 10 8 7
vardas130 pavarde130 5 1 4 2
vardas131 pavarde131 8 9 3 10
vardas132 pavarde132 3 4 5 3
vardas133 pavarde133 9 2 10 10
vardas134 pavarde134 3 3 1 2
vardas135 pavarde135 2 5 8 6
vardas136 pavarde136 9 6 5 7
vardas137 pavarde137 4 7 10 2
vardas138 pavarde138 3 8 1 2
vardas139 pavarde139 10 6 10 7
vardas140 pavarde140 8 2 8 9
